"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay","CA",1,1,53919,"Avocats",69,22.2,511,247100589,6.6,766.126552606688
"CA Bourges Plus","CA",30,1,106729,"Ingénieurs",61,22.8,894,200066330,8.4,785.901371136242
"CA Cannes Pays de Lérins","CA",1,1,160385,"Industriels-Chefs entreprise",52,28.3,3510,200039857,9.8,912.508262867475
"CA Cap Excellence","CA",0,0,102354,"Dentistes",59,15.7,1728,249710062,6.3,568.014368564003
"CA CIVIS (Communauté Intercommunale des VIlles Solidaires)","CA",0,0,182868,"Médecins",69,11.4,1780,249740085,5,861.844003762277
"CA d'Agen","CA",0,0,99176,"Ingénieurs",64,21,1092,243300316,6.9,1415.49744565217
"CA d'Épinal","CA",0,0,115386,"Retraités des professions libérales",75,21.1,901,245400676,5.4,550.864903021164
"CA de Cergy-Pontoise","CA",0,0,208006,"Permanents politiques",65,10.4,3807,200054781,12,918.442514446699
"CA de Châlons-en-Champagne","CA",15,1,82601,"Retraités de l'enseignement",76,18.7,594,200067213,5.7,827.99606457549
"CA de Châlons-en-Champagne","CA",18,1,82601,"Retraités de l'enseignement",76,18.7,594,200067213,5.7,827.99606457549
"CA de Forbach Porte de France","CA",0,0,79237,"Retraités de l'enseignement",66,19.9,496,200070746,4.2,588.913100950314
"CA de l'Auxerrois","CA",1,1,71444,"Sans profession déclarée",68,22.8,605,242100410,6.9,657.775237948603
"CA de l'Ouest Rhodanien","CA",0,0,51863,"Professeurs de faculté",74,22,410,200046977,3.7,748.06918091896
"CA de la Porte du Hainaut","CA",0,0,160249,"Autres retraités",75,16.5,1202,245901160,4,695.191411241256
"CA de la Provence Verte","CA",0,0,100358,"Sans profession déclarée",73,21.4,1440,200054807,7,636.213929532274
"CA de la Région de Compiègne et de la Basse Automne","CA",1,1,84953,"Permanents politiques",71,17.4,814,200054781,12.4,814.861481760503
"CA de la Région Nazairienne et de l'Estuaire (CARENE)","CA",22,1,128035,"Employés (secteur privé)",51,21.5,1091,244400404,6.4,1335.99829007693
"CA de la Riviera Française","CA",0,0,73563,"Retraités des entreprises publiques",80,24.3,1097,200030195,7,734.462873727281
"CA de la Rochelle","CA",28,1,173780,"Retr.artis.commerc.chefs d'entrep.",70,23.9,2558,200041499,10.6,1077.35161497295
"CA de Nîmes Métropole","CA",34,1,262891,"Professions rattachées à enseignt.",67,20.4,3339,243400017,8,1228.22721664112
"CA de Saint-Quentin-en-Yvelines","CA",0,0,232778,"Industriels-Chefs entreprise",67,12.7,3591,200054781,16.5,901.010680047083
"CA de Sophia Antipolis","CA",3,1,179146,"Retraités des entreprises publiques",73,23.5,3971,200030195,16,877.800268551907
"CA de Vesoul","CA",1,1,33926,"Fonctionnaires de catégorie A",46,22.3,288,242500361,6.3,795.84432293816
"CA Dinan Agglomération","CA",9,1,99639,"Permanents politiques",35,25.1,735,243500139,5.4,670.38053703871
"CA du Bassin de Bourg-en-Bresse","CA",0,0,136014,"Grands corps de l'état",55,20.7,1353,200046977,6,930.523095931301
"CA du Bassin de Brive","CA",2,1,110698,"Cadres supérieurs (secteur privé)",55,24.9,922,248719312,5.9,789.619524110643
"CA du Beauvaisis","CA",0,0,104563,"Agriculteurs propriétaires exploit.",72,17.1,861,246000848,6.7,786.771808000918
"CA du Centre Littoral","CA",40,1,139348,"Autres professions libérales",64,7.2,1469,200054781,6.9,537.557635057554
"CA du Choletais","CA",0,0,106711,"Avocats",61,20.4,758,200060010,5,946.613214757616
"CA du Grand Annecy","CA",0,0,206835,"Cadres sup. (entreprises publiques)",62,19,3373,247400740,13.8,841.964013730752
"CA du Grand Sénonais","CA",3,1,60379,"Sans profession déclarée",70,22.7,655,248900896,5.8,796.879930770632
"CA du Niortais","CA",14,1,124588,"Cadres supérieurs (secteur privé)",48,21.1,883,200041994,8.7,1064.10401587633
"CA du Pays Ajaccien","CA",109,1,86418,"Avocats",40,21.7,1106,242000503,7.3,793.882476220232
"CA du Pays Basque","CA",0,0,315349,"Avocats",69,24.4,4597,243300316,9.4,895.005587587086
"CA du Pays de Dreux","CA",0,0,117264,"Retr.artis.commerc.chefs d'entrep.",76,17.5,1069,200071454,4.9,802.811982535134
"CA du Pays de l'Or","CA",1,1,45383,"Permanents politiques",59,25.9,889,243400017,10.7,1295.91286979706
"CA du Pays de Saint Malo Agglomération","CA",25,1,84975,"Retraités des entreprises publiques",73,26.4,930,243500139,7.9,902.682186407767
