siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,part_etudiants,Mode
225700012,Moselle,Union pour un mouvement populaire,DEP,GES-44,http://www.moselleopendata.fr/datas,20,,,,,1036000,,,ptf,57,MOSELLE,19,21650,6.8,8.2,8136,1795,54,819.251328512872,2.6,
225800010,Nièvre,Union pour un mouvement populaire,DEP,BFC-27,https://www.databfc.fr/bfc/portail,38,https://www.data.gouv.fr/fr/organizations/59367c42c751df5751fcc925,2,59367c42c751df5751fcc925,,201518,,,ptf+datagouv,58,NIEVRE,28.7,20320,4.4,7.1,1321,391,18,1436.22346624603,1.1,urbain densité intermédiaire
225900018,Nord,Union pour un mouvement populaire,DEP,HDF-32,https://geonord-lenord.opendata.arcgis.com,7,,,,,2604000,,,ptf,59,NORD,16.4,20040,8.8,10.9,27024,3868,62,1112.03305819474,5.8,urbain dense
225900018,Nord,Rassemblement pour la République,DEP,HDF-32,https://geonord-lenord.opendata.arcgis.com,7,,,,,2604000,,,ptf,59,NORD,16.4,20040,8.8,10.9,27024,3868,62,1112.03305819474,5.8,urbain dense
226000016,Oise,Union pour un mouvement populaire,DEP,HDF-32,http://opendata.oise.fr/donnees/,125,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d7d,54,534fff67a3a7292c64a77d7d,,825207,,,ptf+datagouv,60,OISE,16.3,22150,6.8,8.3,6975,1285,80,1017.01828628008,1.5,urbain densité intermédiaire
226000016,Oise,Union pour la démocratie française,DEP,HDF-32,http://opendata.oise.fr/donnees/,125,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d7d,54,534fff67a3a7292c64a77d7d,,825207,,,ptf+datagouv,60,OISE,16.3,22150,6.8,8.3,6975,1285,80,1017.01828628008,1.5,urbain densité intermédiaire
200012979,PROVINCE DES ILES LOYAUTE - NOUVELLE CALEDONIE,Front de libération nationale kanak et socialiste,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+des+Iles+Loyauté,3,,,,,18353,,,ptf,988,PROVINCE DES ILES LOYAUTE - NOUVELLE CALEDONIE,,,,,,,,,,
200012656,PROVINCE NORD - NOUVELLE CALEDONIE,Front de libération nationale kanak et socialiste,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+Nord,6,,,,,49910,,,ptf,988,PROVINCE NORD - NOUVELLE CALEDONIE,,,,,,,,,,
200012490,PROVINCE SUD - NOUVELLE CALEDONIE,Le Rassemblement,DEP,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Province+Sud,13,,,,,203144,,,ptf,988,PROVINCE SUD - NOUVELLE CALEDONIE,,,,,,,,,,
226300010,Puy-de-Dôme,Parti socialiste,DEP,ARA-84,http://www.puy-de-dome.fr/opendata.html,24,,,,,656643,,,ptf,63,PUY-DE-DOME,21.2,21890,9,7.3,6315,1910,03,1070.58138667746,6.3,rural autonome très peu dense
226400018,Pyrénées-Atlantiques,Union pour la démocratie française,DEP,NAQ-75,https://data.le64.fr/explore/?refine.publisher=D%C3%A9partement+des+Pyr%C3%A9n%C3%A9es-Atlantiques,76,,,,Département des Pyrénées-Atlantiques,679354,,,ptf,64,PYRENEES-ATLANTIQUES,23.4,21850,9.3,7,8236,2683,40,1029.93620854152,2.9,rural autonome peu dense
226600013,Pyrénées-Orientales,Parti socialiste,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ab9f242c751df2f936031d6,12,5ab9f242c751df2f936031d6,,481691,,,datagouv,66,PYRENEES-ORIENTALES,25.5,19350,6.5,13.8,5870,1660,34,1340.62349965911,2.2,
