rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;Nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE (voir documentation);A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2018;2018-19;Unité urbaine;Gien;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;20;20;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU45303;R24;;;UU45303
2018;2018-19;Unité urbaine;Gien;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;35;35;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU45303;R24;;;UU45303
2018;2018-19;Unité urbaine;Montargis;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;360;360;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU45501;R24;;;UU45501
2018;2018-19;Unité urbaine;Montargis;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;269;269;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU45501;R24;;;UU45501
2018;2018-19;Unité urbaine;Orléans;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;9072;8690;oui;317;oui;192;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU45701;R24;;;UU45701
2018;2018-19;Unité urbaine;Cahors;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;46;46;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU46401;R76;;;UU46401
2018;2018-19;Unité urbaine;Cahors;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;30;30;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU46401;R76;;;UU46401
2018;2018-19;Unité urbaine;Nérac;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;10;10;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU47301;R75;;;UU47301
2018;2018-19;Unité urbaine;Langogne;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;41;41;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU48102;R76;;;UU48102
2018;2018-19;Unité urbaine;Saint-Chély-d'Apcher;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;66;66;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU48103;R76;;;UU48103
2018;2018-19;Unité urbaine;Saint-Chély-d'Apcher;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;54;54;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU48103;R76;;;UU48103
2018;2018-19;Unité urbaine;Mende;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;183;183;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU48301;R76;;;UU48301
2018;2018-19;Unité urbaine;Segré;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;33;33;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU49212;R52;;;UU49212
2018;2018-19;Unité urbaine;Segré;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;21;21;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU49212;R52;;;UU49212
2018;2018-19;Unité urbaine;Angers;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;10466;10149;oui;531;oui;922;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU49701;R52;;;UU49701
2018;2018-19;Unité urbaine;Angers;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;8293;8293;non;;oui;918;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU49701;R52;;;UU49701
2018;2018-19;Unité urbaine;Avranches;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;44;44;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU50301;R28;;;UU50301
2018;2018-19;Unité urbaine;Avranches;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;59;59;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU50301;R28;;;UU50301
2018;2018-19;Unité urbaine;Granville;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;180;180;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU50402;R28;;;UU50402
