Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
02062;Belleau;13.2;1;null;4.1
02063;Bellenglise;18.7;3;null;2.2
02064;Belleu;28.2;19;null;2.5
02065;Bellicourt;16.7;5;null;1.9
02066;Benay;18.4;1;null;2
02067;Bergues-sur-Sambre;18.5;1;null;2.5
02068;Berlancourt;22.7;0;null;14.1
02069;Berlise;27.1;2;null;2.6
02070;Bernot;15.6;1;null;3.9
02071;Berny-Rivière;17;1;null;3.6
02072;Berrieux;14.2;0;null;2.7
02073;Berry-au-Bac;14.1;4;null;2.5
02074;Bertaucourt-Epourdon;16.5;3;null;0.9
02075;Berthenicourt;18.4;2;null;6.7
02076;Bertricourt;7.7;0;null;1
02077;Berzy-le-Sec;17.7;3;null;2.8
02078;Besmé;14;1;null;0.9
02079;Besmont;27.6;0;null;2.5
02080;Besny-et-Loizy;19.8;4;null;7.4
02081;Béthancourt-en-Vaux;15;3;null;3.8
02082;Beugneux;16.2;3;null;1.2
02083;Beuvardes;16.6;1;null;3.5
02084;Bézu-le-Guéry;12.7;1;null;3.8
02085;Bézu-Saint-Germain;7.8;7;null;2.8
02086;Bichancourt;20.3;3;null;2.3
02087;Bieuxy;20.6;0;null;3.8
02088;Bièvres;19;2;null;1.6
02089;Billy-sur-Aisne;26;3;null;4.5
02090;Billy-sur-Ourcq;13.4;2;null;7.9
02091;Blanzy-lès-Fismes;24.2;1;null;8.5
02093;Blérancourt;20.2;10;null;3.6
02094;Blesmes;18.6;4;null;4.9
02095;Bohain-en-Vermandois;20.6;21;null;1.6
02096;Bois-lès-Pargny;13.8;3;null;2.7
02097;Boncourt;14.2;2;null;3.6
02098;Bonneil;16.8;4;null;3.9
02099;Bonnesvalyn;9.5;1;null;5
02100;Bony;10.9;1;null;6.2
02101;Bosmont-sur-Serre;23;1;null;2.9
02102;Bouconville-Vauclair;11.9;0;null;4
02103;Boué;20.5;1;null;2
02104;Bouffignereux;22.2;1;null;9.1
02105;Bouresches;13.9;1;null;4.3
02106;Bourg-et-Comin;24.9;4;null;2.1
02107;Bourguignon-sous-Coucy;17.1;0;null;1.4
02108;Bourguignon-sous-Montbavin;23.4;2;null;8.9
02109;La Bouteille;21.7;1;null;2.5
02110;Braine;23.7;14;null;2.7
02111;Brancourt-en-Laonnois;16.1;5;null;2
02112;Brancourt-le-Grand;15.7;3;null;3.5
02114;Brasles;31.1;9;null;4.1
02115;Braye-en-Laonnois;22.1;0;null;0.7
02116;Braye-en-Thiérache;27.6;0;null;2.8
02117;Bray-Saint-Christophe;15.2;0;null;5.8
02118;Braye;22.5;2;null;2.2
02119;Brécy;18.3;1;null;2.8
02120;Brenelle;13.7;0;null;2.8
02121;Breny;17.6;0;null;1.6
02122;Brie;18.9;1;null;4.9
02123;Brissay-Choigny;20.5;2;null;4.7
02124;Brissy-Hamégicourt;23.1;4;null;4.8
02125;Brumetz;12.7;3;null;2.2
02126;Brunehamel;26.8;2;null;3.1
02127;Bruyères-sur-Fère;20.8;2;null;2.7
02128;Bruyères-et-Montbérault;22.1;10;null;7
02129;Bruys;21.1;0;null;26.7
02130;Bucilly;20.7;0;null;4.8
02131;Bucy-le-Long;22.1;8;null;4.5
02132;Bucy-lès-Cerny;12.7;0;null;6.6
02133;Bucy-lès-Pierrepont;17.7;2;null;3.6
02134;Buire;22.8;1;null;3.2
02135;Buironfosse;22.1;7;null;1.3
02136;Burelles;10.9;3;null;7.2
02137;Bussiares;8.7;2;null;3.1
02138;Buzancy;18.9;1;null;4.3
02139;Caillouël-Crépigny;19.3;5;null;3.3
02140;Camelin;17.6;1;null;3.1
02141;La Capelle;24.8;4;null;1.7
02142;Castres;11.5;3;null;4.8
02143;Le Catelet;19.8;0;null;2.1
02144;Caulaincourt;11.1;3;null;8
02145;Caumont;17.5;3;null;3.1
02146;Celles-lès-Condé;21.3;1;null;8.7
02148;Celles-sur-Aisne;16;0;null;2.6
02149;Cerizy;15.2;0;null;8.9
02150;Cerny-en-Laonnois;11.9;0;null;2
02151;Cerny-lès-Bucy;18.3;0;null;7.9
02152;Cerseuil;25.8;0;null;8.8
02153;Cessières-Suzy;17.2;3;null;4.1
02154;Chacrise;15.6;2;null;7.7
02155;Chaillevois;20.2;0;null;6.4
02156;Chalandry;15;0;null;6.7
02157;Chambry;23.7;5;null;2.2
02158;Chamouille;12.8;3;null;5.3
02159;Champs;19.8;2;null;1.8
02160;Chaourse;22.1;1;null;2.1
02162;La Chapelle-sur-Chézy;9.2;3;null;2.2
02163;Charly-sur-Marne;19.8;17;null;3.4
02164;Le Charmel;20;3;null;0.9
02165;Charmes;23.3;11;null;2.4
02166;Chartèves;17.4;3;null;2.9
02167;Chassemy;14.6;6;null;2.8
02168;Château-Thierry;21;131;null;5.4
02169;Châtillon-lès-Sons;19.3;0;null;3.2
02170;Châtillon-sur-Oise;17.2;0;null;4
02171;Chaudardes;15.9;0;null;0
02172;Chaudun;11.2;2;null;3.3
02173;Chauny;20.4;85;02738;3.6
02174;Chavignon;15.5;4;null;3.2
02175;Chavigny;19;1;null;4.2
02176;Chavonne;9.7;1;null;2.8
02177;Chérêt;23;1;null;5
02178;Chermizy-Ailles;16;1;null;10.4
02179;Chéry-Chartreuve;16.4;4;null;5.6
02180;Chéry-lès-Pouilly;14.5;2;null;2.6
02181;Chéry-lès-Rozoy;25.3;0;null;0
02182;Chevennes;18.4;1;null;0
02183;Chevregny;19.5;0;null;6.5
02184;Chevresis-Monceau;27.9;4;null;2.5
