nom,SIREN,type,code_region,code_departement
CC du Grand Pic Saint-Loup,200022986,MET,76,34
CC du Grand Pontarlier,242500338,MET,27,25
CC du Grand Roye,200070977,MET,32,80
CC du Grand Saint-Émilionnais,200035533,MET,75,33
CC du Guillestrois et du Queyras,200067452,MET,93,5
CC du Haut-Allier,200006930,MET,76,48
CC du Haut-Béarn,200067262,MET,75,64
CC du Haut-Chablais,247400682,MET,84,74
CC du Haut-Jura - ARCADE,243900479,MET,27,39
CC du Haut-Lignon,244301107,MET,84,43
CC du Haut-Poitou,200069763,MET,75,86
CC du Haut Pays Bigouden,242900710,MET,53,29
CC du Haut Pays du Montreuillois,200069235,MET,32,62
CC du Haut Val d'Oise,249500489,MET,11,95
CC du Haut Vallespir,246600548,MET,76,66
CC du Jovinien,248900938,MET,27,89
CC du Kochersberg,200034635,MET,44,67
CC du Kreiz-Breizh (CCKB),242200715,MET,53,22
CC du Lac d'Aiguebelette (CCLA),247300668,MET,84,73
CC du Lautrécois et du Pays d'Agout,200034056,MET,76,81
CC du Liancourtois,246000129,MET,32,60
CC du Limouxin,200071926,MET,76,11
CC du Massif du Sancy,246300966,MET,84,
CC du Massif du Vercors,243801024,MET,84,38
CC du Minervois au Caroux,200066348,MET,76,34
CC du Mont des Avaloirs,200042182,MET,52,53
CC du Montbardois,242101491,MET,27,21
CC du Nivernais Bourbonnais,245804497,MET,27,58
CC du Nogentais,200006716,MET,44,10
CC du Nord de Mayotte,200060465,MET,6,976
CC du Nord Est Béarn,200067296,MET,75,64
CC du Pays Arnay Liernais,200071173,MET,27,21
CC du Pays Beaume-Drobie,240700302,MET,84,7
CC du Pays Bellegardien (CCPB),240100891,MET,84,1
CC du Pays Bigouden Sud,242900702,MET,53,29
CC du Pays Châtillonnais,242101434,MET,27,21
CC du Pays d'Alésia et de la Seine,242101459,MET,27,21
CC du Pays d'Ancenis,244400552,MET,52,
CC du Pays d'Étain,245501242,MET,44,55
CC du Pays d'Héricourt,247000722,MET,27,
CC du Pays d'Huriel,240300657,MET,84,3
CC du Pays d'Iroise,242900074,MET,53,29
CC du Pays d'Issoudun,243600236,MET,24,
CC du Pays d'Olmes,240900464,MET,76,9
CC du Pays d'Othe,241000447,MET,44,10
CC du Pays d'Urfé,244200820,MET,84,42
CC du Pays d'Uzerche,241927243,MET,75,19
CC du Pays de Barr,200034270,MET,44,67
CC du Pays de Bitche,200069441,MET,44,57
CC du Pays de Bray,246000913,MET,32,60
CC du Pays de Château-Gontier,245300447,MET,52,53
CC du Pays de Colombey et du Sud Toulois,245400510,MET,44,
CC du Pays de Conches,242700276,MET,28,27
CC du Pays de Craon,200048551,MET,52,53
CC du Pays de Cruseilles,247400112,MET,84,74
CC du Pays de Dol et de la Baie du Mont-Saint-Michel,200070670,MET,53,35
CC du Pays de Duras,244700449,MET,75,47
CC du Pays de Falaise,241400514,MET,28,14
CC du Pays de Fayence,200004802,MET,93,83
CC du Pays de Fénelon,200040830,MET,75,24
CC du Pays de Honfleur-Beuzeville,200066827,MET,28,
CC du Pays de l'Arbresle (CCPA),246900625,MET,84,69
CC du Pays de l'Huisne Sarthoise,247200686,MET,52,72
CC du Pays de l'Ourcq,247700065,MET,11,77
CC du Pays de l'Ozon,246900765,MET,84,69
CC du Pays de la Châtaigneraie,248500415,MET,52,85
CC du Pays de la Serre,240200469,MET,32,2
CC du Pays de la Zorn,246700959,MET,44,67
CC du Pays de Lalbenque-Limogne,244600532,MET,76,46
CC du Pays de Lamastre,200016905,MET,84,7
CC du Pays de Landerneau-Daoulas,242900801,MET,53,29
CC du Pays de Landivisiau,242900751,MET,53,29
CC du Pays de Lapalisse,240300491,MET,84,3
CC du Pays de Lauzun,244700464,MET,75,47
CC du Pays de Limours (CCPL),249100074,MET,11,91
CC du Pays de Lubersac-Pompadour,200066603,MET,75,19
