Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;30.6;62;null;19390;3.8
200066561;CC Sidobre Vals et Plateaux;27;87;null;19920;3.7
200066587;CC des Monts du Lyonnais;18.2;301;200046977;21840;4.1
200066603;CC du Pays de Lubersac-Pompadour;31.3;65;null;20330;4.6
200066637;CC Hautes Terres Communauté;31.2;59;null;19740;3.7
200066645;CC Vézère-Monédières-Millesources;38.5;46;null;19590;4.1
200066652;CC Grand Sud Tarn et Garonne;16;422;243100518;21460;5.8
200066660;CC Saint-Flour Communauté;25.9;125;null;20050;3.7
200066678;CC de la Châtaigneraie Cantalienne;28.8;113;241500230;20180;3.5
200066710;CC Cingal-Suisse Normande;16.8;204;200065597;21700;5.4
200066728;CC Vallées de l'Orne et de l'Odon;15;204;200065597;23870;7.8
200066744;CC Haute-Corrèze Communauté;26.7;245;null;20260;4.3
200066751;CC Xaintrie Val'Dordogne;33.7;83;null;19840;3.5
200066769;CC Midi Corrézien;29.2;130;null;21010;5.6
200066777;CC Ploërmel Communauté;24.4;309;200066785;20570;4.5
200066785;CC de l'Oust à Brocéliande;22.1;251;200066777;20810;4.4
200066793;CA du Grand Annecy;19;3373;247400740;26420;13.8
200066801;CC Isigny-Omaha Intercom;22.7;154;241400555;20480;3.3
200066819;CC du Volvestre;18.1;335;243100518;21800;6.6
200066827;CC du Pays de Honfleur-Beuzeville;20.6;301;null;21640;6.8
200066835;CC de Sézanne-Sud Ouest Marnais;23.3;155;null;21760;3.7
200066850;CC des Paysages de la Champagne;20.9;141;200067684;23420;3.8
200066868;CC Presqu'île de Crozon-Aulne maritime;28;180;242900314;21390;6.4
200066876;CA de Châlons-en-Champagne;18.7;594;200067213;20970;5.7
200066884;CC Quercy Vert-Aveyron;20;192;248200099;20620;4.7
200066892;CC de Vendeuvre-Soulaines;23.1;42;null;20670;3
